record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43382,86012050,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-41.333333333333336
43383,86012050,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-41.333333333333336
43384,86012050,Sooty shearwater,PUFGRI,Puffinus griseus,6,-41.333333333333336
43385,86012051,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-41.333333333333336
43386,86012051,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,4,-41.333333333333336
43387,86012051,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,3,-41.333333333333336
43388,86012051,Cape petrel,DAPCAP,Daption capense,1,-41.333333333333336
43389,86012051,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,2,-41.333333333333336
43390,86012051,Sooty shearwater,PUFGRI,Puffinus griseus,8,-41.333333333333336
43391,86012052,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-41.35
43392,86012052,Sooty shearwater,PUFGRI,Puffinus griseus,2,-41.35
43393,86012053,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-41.38333333333333
43394,86012053,Sooty shearwater,PUFGRI,Puffinus griseus,2,-41.38333333333333
43395,86012054,Cape petrel,DAPCAP,Daption capense,2,-41.416666666666664
43396,86012054,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,2,-41.416666666666664
43397,86012054,Sooty shearwater,PUFGRI,Puffinus griseus,8,-41.416666666666664
43398,86012055,Northern royal albatross,DIOSAN,Diomedea sanfordi,1,-41.416666666666664
43399,86012055,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,4,-41.416666666666664
43400,86012055,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-41.416666666666664
43401,86012055,Sooty shearwater,PUFGRI,Puffinus griseus,2,-41.416666666666664
43402,86012056,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-41.416666666666664
43403,86012056,Sooty shearwater,PUFGRI,Puffinus griseus,1,-41.416666666666664
43404,86012057,Sooty shearwater,PUFGRI,Puffinus griseus,2,-41.46666666666667
43405,86012058,Cape petrel,DAPCAP,Daption capense,1,-41.53333333333333
