record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43102,86011233,Southern royal albatross,DIOEPO,Diomedea epomophora,1,-40.7
43103,86011233,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-40.7
43104,86011233,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-40.7
43105,86011233,Cape petrel,DAPCAP,Daption capense,11,-40.7
43106,86011233,Prion ,PACSP,Pachyptila sp,30,-40.7
43107,86011233,Sooty shearwater,PUFGRI,Puffinus griseus,1,-40.7
43108,86011234,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.733333333333334
43109,86011234,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.733333333333334
43110,86011234,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.733333333333334
43111,86011234,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-40.733333333333334
43112,86011234,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-40.733333333333334
43113,86011234,Giant petrel sensu lato,MACSP,Macronectes sp.,1,-40.733333333333334
43114,86011234,Cape petrel,DAPCAP,Daption capense,9,-40.733333333333334
43115,86011234,Prion ,PACSP,Pachyptila sp,20,-40.733333333333334
43116,86011234,Sooty shearwater,PUFGRI,Puffinus griseus,2,-40.733333333333334
43117,86011235,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.766666666666666
43118,86011235,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.766666666666666
43119,86011235,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.766666666666666
43120,86011235,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-40.766666666666666
43121,86011235,Giant petrel sensu lato,MACSP,Macronectes sp.,1,-40.766666666666666
43122,86011235,Cape petrel,DAPCAP,Daption capense,6,-40.766666666666666
43123,86011235,Prion ,PACSP,Pachyptila sp,50,-40.766666666666666
43124,86011235,Westland / White-chinned petrel,PROWESAEQ,Procellaria westlandica / aequinoctialis,1,-40.766666666666666
43125,86011235,Sooty shearwater,PUFGRI,Puffinus griseus,9,-40.766666666666666
43126,86011236,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-40.8
43127,86011236,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-40.8
43128,86011236,Cape petrel,DAPCAP,Daption capense,4,-40.8
43129,86011236,Prion ,PACSP,Pachyptila sp,12,-40.8
43130,86011236,Sooty shearwater,PUFGRI,Puffinus griseus,3,-40.8
43131,86011237,Cape petrel,DAPCAP,Daption capense,2,-40.81666666666667
43132,86011237,Buller's shearwater,PUFBUL,Puffinus bulleri,1,-40.81666666666667
